28000,28001,28002,28003,20142015,2010,2010x100,2011
43.72,43.72,0.33,3.3,,,,
26.45,26.45,0.05,0.5,,,,
21.35,21.35,0,0,,,,
1.99,1.99,0.17,1.7,,,,
30.5,30.5,9.28,92.8,,,,
29.61,29.61,0.74,7.4,,,,
0.53,0.53,0.1,1,,,,
20.43,20.43,0.04,0.4,,,,
1.15,1.15,1.79,17.9,,,,
5.86,5.86,0.9,9,,,,
0.46,0.46,1.29,12.9,,,,
16.24,16.24,39.83,398.3,,,,
9.28,9.28,0.12,1.2,,,,
12.95,12.95,1.23,12.3,,,,
20.62,20.62,35.5,355,,,,
12.4,12.4,12.41,124.1,,,,
16.79,16.79,0.51,5.1,,,,
13.43,13.43,0.05,0.5,,,,
2.09,2.09,16.9,169,,,,
0.32,0.32,1.43,14.3,,,,
10.17,10.17,28.21,282.1,,,,
2.31,2.31,0.61,6.1,,,,
16.02,16.02,0,0,,,,
8.25,8.25,0.58,5.8,,,,
15.35,15.35,0.01,0.1,,,,
19.94,19.94,0,0,,,,
19.89,19.89,2.37,23.7,,,,
8.23,8.23,13.03,130.3,,,,
5.52,5.52,1.12,11.2,,,,
0.72,0.72,0.34,3.4,,,,
38.45,38.45,2.92,29.2,,,,
9.94,9.94,5.08,50.8,,,,
1.8,1.8,22.08,220.8,,,,
18.04,18.04,14.55,145.5,,,,
59.71,59.71,9.54,95.4,,,,
18.97,18.97,18.66,186.6,,,,
20.39,20.39,0.38,3.8,,,,
24.77,24.77,0.07,0.7,,,,
28.38,28.38,0,0,,,,
6.02,6.02,0,0,,,,
23.79,23.79,0.03,0.3,,,,
13.1,13.1,0.04,0.4,,,,
25.13,25.13,0,0,,,,
14.34,14.34,0.22,2.2,,,,
44.33,44.33,3.59,35.9,,,,
4.1,4.1,11.39,113.9,,,,
15.33,15.33,8.26,82.6,,,,
30.25,30.25,14,140,,,,
2.15,2.15,7.1,71,,,,
13.41,13.41,1.52,15.2,,,,
5.15,5.15,4.5,45,,,,
5.69,5.69,5.18,51.8,,,,
5.61,5.61,0.83,8.3,,,,
1.5,1.5,9.69,96.9,,,,
17,17,5.84,58.4,,,,
6.79,6.79,9.81,98.1,,,,
15.56,15.56,22.18,221.8,,,,
21.7,21.7,2.63,26.3,,,,
1.32,1.32,3.92,39.2,,,,
5.24,5.24,0.12,1.2,,,,
26.07,26.07,0,0,,,,
7.87,7.87,0.03,0.3,,,,
0.69,0.69,0,0,,,,
0.25,0.25,0,0,,,,
7.09,7.09,0,0,,,,
0.31,0.31,0,0,,,,
0,0,0,0,,,,
0.04,0.04,0,0,,,,
0.03,0.03,0,0,,,,
0.03,0.03,0.68,6.8,,,,
0,0,0.26,2.6,,,,
0.04,0.04,0,0,,,,
0.01,0.01,0.03,0.3,,,,
0.03,0.03,0,0,,,,
0.09,0.09,0.23,2.3,,,,
0.36,0.36,0,0,,,,
1.81,1.81,14.25,142.5,,,,
0,0,47.79,477.9,,,,
15.27,15.27,4.51,45.1,,,,
11.83,11.83,0,0,,,,
8.69,8.69,13.06,130.6,,,,
0.38,0.38,27.23,272.3,,,,
17.47,17.47,13.5,135,,,,
1.5,1.5,13.59,135.9,,,,
3.88,3.88,13.15,131.5,,,,
13.88,13.88,0,0,,,,
14.93,14.93,16.07,160.7,,,,
0.63,0.63,18.55,185.5,,,,
0.03,0.03,19.38,193.8,,,,
0.6,0.6,5.87,58.7,,,,
3.41,3.41,16.47,164.7,,,,
5.21,5.21,11.07,110.7,,,,
3.96,3.96,6.99,69.9,,,,
2.72,2.72,0.06,0.6,,,,
18.44,18.44,0,0,,,,
65.61,65.61,2.5,25,,,,
9.27,9.27,0.09,0.9,,,,
0.07,0.07,0,0,,,,
0.09,0.09,0,0,,,,
0.03,0.03,0,0,,,,
0,0,0,0,,,,
1.22,1.22,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0.06,0.6,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.12,0.12,0,0,,,,
20.24,20.24,0,0,,,,
0.01,0.01,0,0,,,,
9.33,9.33,0,0,,,,
0.4,0.4,0,0,,,,
1.81,1.81,4.86,48.6,,,,
23.82,23.82,4.31,43.1,,,,
26.86,26.86,0.06,0.6,,,,
7.3,7.3,0,0,,,,
2.98,2.98,,,,,,
0.05,0.05,,,,,,
4.3,4.3,,,,,,
3.32,3.32,,,,,,
0,0,,,,,,
0,0,,,,,,
0.09,0.09,,,,,,
12.47,12.47,,,,,,
7.87,7.87,,,,,,
21.83,21.83,,,,,,
4.6,4.6,,,,,,
15.9,15.9,,,,,,
8.7,8.7,,,,,,
5.66,5.66,,,,,,
3.51,3.51,,,,,,
0.31,0.31,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
10.22,10.22,,,,,,
1.38,1.38,,,,,,
14.91,14.91,,,,,,
16.15,16.15,,,,,,
1.37,1.37,,,,,,
24.36,24.36,,,,,,
2.85,2.85,,,,,,
0,0,,,,,,
0.25,0.25,,,,,,
0.5,0.5,,,,,,
1.16,1.16,,,,,,
0.42,0.42,,,,,,
0.04,0.04,,,,,,
1.15,1.15,,,,,,
1.68,1.68,,,,,,
11.75,11.75,,,,,,
7.56,7.56,,,,,,
0.11,0.11,,,,,,
3.19,3.19,,,,,,
3.11,3.11,,,,,,
3.5,3.5,,,,,,
11.29,11.29,,,,,,
0.75,0.75,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0.03,0.03,,,,,,
0.01,0.01,,,,,,
0,0,,,,,,
0.03,0.03,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
15.77,15.77,,,,,,
8.47,8.47,,,,,,
10.62,10.62,,,,,,
0.35,0.35,,,,,,
0,0,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
1.05,1.05,,,,,,
16.57,16.57,,,,,,
0.1,0.1,,,,,,
1.92,1.92,,,,,,
9.02,9.02,,,,,,
4.13,4.13,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
0,0,,,,,,
3.62,3.62,,,,,,
0.08,0.08,,,,,,
0.93,0.93,,,,,,
0.85,0.85,,,,,,
0.16,0.16,,,,,,
2.29,2.29,,,,,,
0.16,0.16,,,,,,
0.04,0.04,,,,,,
0.15,0.15,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
0,0,,,,,,
0.01,0.01,,,,,,
0,0,,,,,,
0,0,,,,,,
0.98,0.98,,,,,,
3.62,3.62,,,,,,
0.05,0.05,,,,,,
0.22,0.22,,,,,,
0.12,0.12,,,,,,
20.32,20.32,,,,,,
1.43,1.43,,,,,,
0.19,0.19,,,,,,
23.38,23.38,,,,,,
6.74,6.74,,,,,,
0,0,,,,,,
0,0,,,,,,
0.94,0.94,,,,,,
12.12,12.12,,,,,,
4.43,4.43,,,,,,
8.05,8.05,,,,,,
4.24,4.24,,,,,,
1.67,1.67,,,,,,
14.01,14.01,,,,,,
0.24,0.24,,,,,,
5.67,5.67,,,,,,
2.91,2.91,,,,,,
0.33,0.33,,,,,,
2.22,2.22,,,,,,
0,0,,,,,,
3.71,3.71,,,,,,
1.71,1.71,,,,,,
0,0,,,,,,
11.55,11.55,,,,,,
26.63,26.63,,,,,,
4.15,4.15,,,,,,
12.57,12.57,,,,,,
4.55,4.55,,,,,,
6.9,6.9,,,,,,
0.13,0.13,,,,,,
0.38,0.38,,,,,,
1.04,1.04,,,,,,
0,0,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0.04,0.04,,,,,,
0.04,0.04,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
0.04,0.04,,,,,,
0,0,,,,,,
0.08,0.08,,,,,,
0,0,,,,,,
0,0,,,,,,
0.95,0.95,,,,,,
0.34,0.34,,,,,,
0,0,,,,,,
0.02,0.02,,,,,,
0.02,0.02,,,,,,
3.39,3.39,,,,,,
0.47,0.47,,,,,,
4.63,4.63,,,,,,
0,0,,,,,,
0.08,0.08,,,,,,
0,0,,,,,,
0.11,0.11,,,,,,
2.13,2.13,,,,,,
0.46,0.46,,,,,,
0.06,0.06,,,,,,
19.05,19.05,,,,,,
0.27,0.27,,,,,,
28.5,28.5,,,,,,
7.89,7.89,,,,,,
5.02,5.02,,,,,,
14.1,14.1,,,,,,
6.96,6.96,,,,,,
5.07,5.07,,,,,,
0.87,0.87,,,,,,
37.72,37.72,,,,,,
13.91,13.91,,,,,,
0.7,0.7,,,,,,
13.35,13.35,,,,,,
22.5,22.5,,,,,,
34.22,34.22,,,,,,
8.28,8.28,,,,,,
2.85,2.85,,,,,,
15.3,15.3,,,,,,
0.6,0.6,,,,,,
2.43,2.43,,,,,,
6.96,6.96,,,,,,
4.81,4.81,,,,,,
0.19,0.19,,,,,,
0.32,0.32,,,,,,
0.39,0.39,,,,,,
4.56,4.56,,,,,,
2.87,2.87,,,,,,
0.19,0.19,,,,,,
1.84,1.84,,,,,,
26.8,26.8,,,,,,
12.31,12.31,,,,,,
5.03,5.03,,,,,,
4.6,4.6,,,,,,
0.2,0.2,,,,,,
34.17,34.17,,,,,,
26.19,26.19,,,,,,
1.56,1.56,,,,,,
0.59,0.59,,,,,,
39.58,39.58,,,,,,
15.52,15.52,,,,,,
5.09,5.09,,,,,,
18.58,18.58,,,,,,
4.55,4.55,,,,,,
14.44,14.44,,,,,,
3.66,3.66,,,,,,
2.29,2.29,,,,,,
0.26,0.26,,,,,,
3.28,3.28,,,,,,
1.58,1.58,,,,,,
13.11,13.11,,,,,,
4.58,4.58,,,,,,
0.05,0.05,,,,,,
0.6,0.6,,,,,,
3.65,3.65,,,,,,
0.17,0.17,,,,,,
0.16,0.16,,,,,,
0,0,,,,,,
0.12,0.12,,,,,,
0.01,0.01,,,,,,
0.97,0.97,,,,,,
0.01,0.01,,,,,,
0.11,0.11,,,,,,
0.05,0.05,,,,,,
1.33,1.33,,,,,,
9.04,9.04,,,,,,
8.28,8.28,,,,,,
0.54,0.54,,,,,,
14.82,14.82,,,,,,
17.6,17.6,,,,,,
44.05,44.05,,,,,,
0.68,0.68,,,,,,
0.33,0.33,,,,,,
6.08,6.08,,,,,,
1.25,1.25,,,,,,
12.31,12.31,,,,,,
11.11,11.11,,,,,,
36.46,36.46,,,,,,
0.84,0.84,,,,,,
2.35,2.35,,,,,,
5.56,5.56,,,,,,
3.76,3.76,,,,,,
16.48,16.48,,,,,,
2.43,2.43,,,,,,
1.65,1.65,,,,,,
23.82,23.82,,,,,,
1.71,1.71,,,,,,
0.09,0.09,,,,,,
0.07,0.07,,,,,,
0.44,0.44,,,,,,
2.38,2.38,,,,,,
21.19,,,,,,,
33.46,,,,,,,
7.26,,,,,,,
0.29,,,,,,,
6.38,,,,,,,
0.35,,,,,,,
40.76,,,,,,,
19.43,,,,,,,
10.95,,,,,,,
3.99,,,,,,,
3.94,,,,,,,
36.22,,,,,,,
19.32,,,,,,,
52.99,,,,,,,
3.52,,,,,,,
3.69,,,,,,,
2.56,,,,,,,
0.54,,,,,,,
0.41,,,,,,,
8.13,,,,,,,
0.33,,,,,,,
0,,,,,,,
8.88,,,,,,,
0.18,,,,,,,
8.55,,,,,,,
0.13,,,,,,,
6.19,,,,,,,
15.6,,,,,,,
12.86,,,,,,,
4.28,,,,,,,
10.8,,,,,,,
0.56,,,,,,,
1.75,,,,,,,
0.3,,,,,,,
0,,,,,,,
0.15,,,,,,,
0,,,,,,,
0.14,,,,,,,
0.11,,,,,,,
0.46,,,,,,,
0,,,,,,,
0,,,,,,,
11.31,,,,,,,
13.64,,,,,,,
0.21,,,,,,,
8.5,,,,,,,
0.31,,,,,,,
0,,,,,,,
6.7,,,,,,,
29.61,,,,,,,
2.86,,,,,,,
4,,,,,,,
33.72,,,,,,,
14.88,,,,,,,
13.25,,,,,,,
17.26,,,,,,,
7.95,,,,,,,
4.13,,,,,,,
16.03,,,,,,,
9.88,,,,,,,
12.18,,,,,,,
3.09,,,,,,,
0.89,,,,,,,
0,,,,,,,
0.19,,,,,,,
0.74,,,,,,,
2.45,,,,,,,
4.11,,,,,,,
0.11,,,,,,,
0.73,,,,,,,
8.2,,,,,,,
2.16,,,,,,,
0.73,,,,,,,
0.32,,,,,,,
0,,,,,,,
0.04,,,,,,,
0.08,,,,,,,
0.01,,,,,,,
0.08,,,,,,,
0,,,,,,,
0,,,,,,,
2.32,,,,,,,
1.48,,,,,,,
19.83,,,,,,,
0,,,,,,,
6.65,,,,,,,
34.73,,,,,,,
8.69,,,,,,,
8.36,,,,,,,
1.16,,,,,,,
6.84,,,,,,,
7.06,,,,,,,
2.63,,,,,,,
0.06,,,,,,,
0,,,,,,,
0.08,,,,,,,
0.01,,,,,,,
0,,,,,,,
0,,,,,,,
4.21,,,,,,,
0.08,,,,,,,
0.09,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0.04,,,,,,,
0,,,,,,,
0,,,,,,,
0.04,,,,,,,
0,,,,,,,
0.04,,,,,,,
0.02,,,,,,,
4.82,,,,,,,
5.33,,,,,,,
0.04,,,,,,,
2.82,,,,,,,
8.41,,,,,,,
0.83,,,,,,,
0.09,,,,,,,
1.68,,,,,,,
16.33,,,,,,,
5.33,,,,,,,
16.8,,,,,,,
17.94,,,,,,,
0.97,,,,,,,
3.82,,,,,,,
8.72,,,,,,,
0.07,,,,,,,
0.8,,,,,,,
1.18,,,,,,,
0.04,,,,,,,
14.37,,,,,,,
6.41,,,,,,,
1.48,,,,,,,
0,,,,,,,
12.02,,,,,,,
12.83,,,,,,,
2.11,,,,,,,
0,,,,,,,
1.24,,,,,,,
0.16,,,,,,,
0.22,,,,,,,
0.89,,,,,,,
0,,,,,,,
0,,,,,,,
0.81,,,,,,,
0.45,,,,,,,
6.27,,,,,,,
20.36,,,,,,,
1.16,,,,,,,
49.22,,,,,,,
3.45,,,,,,,
0,,,,,,,
0,,,,,,,
0.39,,,,,,,
0.03,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0.03,,,,,,,
2.42,,,,,,,
14.03,,,,,,,
0.59,,,,,,,
0.03,,,,,,,
0.03,,,,,,,
0.08,,,,,,,
1.7,,,,,,,
0.04,,,,,,,
0.03,,,,,,,
0.09,,,,,,,
8.12,,,,,,,
0.61,,,,,,,
0,,,,,,,
0,,,,,,,
0.25,,,,,,,
2.75,,,,,,,
2.59,,,,,,,
2.01,,,,,,,
0,,,,,,,
0.12,,,,,,,
1.97,,,,,,,
10.91,,,,,,,
0.12,,,,,,,
0.11,,,,,,,
10.92,,,,,,,
9.78,,,,,,,
8.81,,,,,,,
0.33,,,,,,,
0,,,,,,,
0.62,,,,,,,
6.49,,,,,,,
14.8,,,,,,,
3.94,,,,,,,
6.52,,,,,,,
0.16,,,,,,,
3.8,,,,,,,
0.32,,,,,,,
0.03,,,,,,,
1.76,,,,,,,
3.03,,,,,,,
0.54,,,,,,,
1.08,,,,,,,
28.66,,,,,,,
17.14,,,,,,,
17.65,,,,,,,
12.47,,,,,,,
1.7,,,,,,,
0.81,,,,,,,
0.09,,,,,,,
0,,,,,,,
0,,,,,,,
1.61,,,,,,,
2.58,,,,,,,
1.41,,,,,,,
0.87,,,,,,,
14.2,,,,,,,
0.1,,,,,,,
0.19,,,,,,,
0,,,,,,,
24.22,,,,,,,
2.75,,,,,,,
0,,,,,,,
6.3,,,,,,,
25.6,,,,,,,
0.98,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
5.06,,,,,,,
9.52,,,,,,,
6.8,,,,,,,
6.78,,,,,,,
27.7,,,,,,,
13.63,,,,,,,
8.79,,,,,,,
32.34,,,,,,,
0.78,,,,,,,
2.65,,,,,,,
0.63,,,,,,,
1.72,,,,,,,
7.19,,,,,,,
0.12,,,,,,,
0.03,,,,,,,
0.43,,,,,,,
0.54,,,,,,,
2.27,,,,,,,
0.08,,,,,,,
0.03,,,,,,,
0.03,,,,,,,
0.04,,,,,,,
0,,,,,,,
0.04,,,,,,,
12.67,,,,,,,
0.3,,,,,,,
22.32,,,,,,,
38.48,,,,,,,
0.19,,,,,,,
1.14,,,,,,,
14.34,,,,,,,
2.73,,,,,,,
0.16,,,,,,,
6.91,,,,,,,
8.42,,,,,,,
2.19,,,,,,,
5.59,,,,,,,
1,,,,,,,
0.15,,,,,,,
0.15,,,,,,,
0.08,,,,,,,
0,,,,,,,
0,,,,,,,
0.05,,,,,,,
